Source: https://www.open.nrw/dataset/jahresubersicht-der-dauerzahlstellen-radverkehr-seit-2012-d;;;;;
;;;;;
location;latitude;longitude;;;
fleher deich ost stromaufwaerts;5.118.834;677.571;;;
fleher deich west stromabwaerts;5.118.774;677.514;;;
oberkasseler bruecke nord;5.123.166;676.320;;;
oberkasseler bruecke sued;5.123.146;676.324;;;
;;;;;
date;time;fleher deich ost stromaufwaerts;fleher deich west stromabwaerts;okb nord;okb sued
01.01.2021;00:00:00;0;0;2;0
01.01.2021;00:15:00;0;0;1;0
01.01.2021;00:30:00;0;0;1;7
01.01.2021;00:45:00;0;0;2;1
01.01.2021;01:00:00;0;0;4;1
01.01.2021;01:15:00;0;0;0;0
01.01.2021;01:30:00;0;2;0;3
01.01.2021;01:45:00;0;0;0;1
01.01.2021;02:00:00;0;0;3;0
01.01.2021;02:15:00;0;0;2;0
01.01.2021;02:30:00;0;0;2;3
01.01.2021;02:45:00;0;0;0;2
01.01.2021;03:00:00;0;0;1;1
01.01.2021;03:15:00;0;0;0;1
01.01.2021;03:30:00;0;0;2;0
01.01.2021;03:45:00;0;0;1;21
01.01.2021;04:00:00;0;0;4;1
01.01.2021;04:15:00;0;0;0;38
01.01.2021;04:30:00;0;0;0;10
01.01.2021;04:45:00;0;0;2;1
01.01.2021;05:00:00;0;0;0;0
01.01.2021;05:15:00;0;0;2;0
01.01.2021;05:30:00;1;0;1;39
01.01.2021;05:45:00;0;0;1;0
01.01.2021;06:00:00;2;0;1;0
01.01.2021;06:15:00;0;1;0;0
01.01.2021;06:30:00;0;0;0;1
01.01.2021;06:45:00;0;0;0;0
01.01.2021;07:00:00;2;0;0;0
01.01.2021;07:15:00;0;0;1;3
01.01.2021;07:30:00;1;0;0;22
01.01.2021;07:45:00;0;0;0;0
01.01.2021;08:00:00;0;0;0;2
01.01.2021;08:15:00;1;1;1;2
01.01.2021;08:30:00;2;1;1;5
01.01.2021;08:45:00;1;1;3;21
01.01.2021;09:00:00;0;0;3;2
01.01.2021;09:15:00;1;0;0;0
01.01.2021;09:30:00;2;0;2;34
01.01.2021;09:45:00;0;3;4;21
01.01.2021;10:00:00;2;2;2;10
01.01.2021;10:15:00;3;0;4;1
01.01.2021;10:30:00;0;2;3;16
01.01.2021;10:45:00;10;4;1;5
01.01.2021;11:00:00;9;4;6;0
01.01.2021;11:15:00;6;7;8;6
01.01.2021;11:30:00;6;7;6;35
01.01.2021;11:45:00;2;6;4;0
01.01.2021;12:00:00;12;22;8;11
01.01.2021;12:15:00;6;14;6;4
01.01.2021;12:30:00;4;16;2;5
01.01.2021;12:45:00;10;24;11;2
01.01.2021;13:00:00;5;17;24;10
01.01.2021;13:15:00;18;17;14;3
01.01.2021;13:30:00;9;23;10;18
01.01.2021;13:45:00;14;17;21;5
01.01.2021;14:00:00;6;30;15;2
01.01.2021;14:15:00;10;24;22;20
01.01.2021;14:30:00;15;30;26;5
01.01.2021;14:45:00;15;19;34;17
01.01.2021;15:00:00;17;16;18;9
01.01.2021;15:15:00;9;21;15;7
01.01.2021;15:30:00;16;39;24;9
01.01.2021;15:45:00;6;21;24;8
01.01.2021;16:00:00;16;18;21;12
01.01.2021;16:15:00;10;14;24;12
01.01.2021;16:30:00;11;3;21;16
01.01.2021;16:45:00;4;12;11;7
01.01.2021;17:00:00;5;9;10;10
01.01.2021;17:15:00;1;2;16;40
01.01.2021;17:30:00;1;1;13;15
01.01.2021;17:45:00;4;3;7;2
01.01.2021;18:00:00;0;4;5;14
01.01.2021;18:15:00;2;3;4;4
01.01.2021;18:30:00;0;1;7;1
01.01.2021;18:45:00;1;5;4;4
01.01.2021;19:00:00;0;0;4;59
01.01.2021;19:15:00;0;1;3;18
01.01.2021;19:30:00;0;0;3;8
01.01.2021;19:45:00;0;1;5;2
01.01.2021;20:00:00;0;1;3;6
01.01.2021;20:15:00;0;0;3;3
01.01.2021;20:30:00;0;0;2;6
01.01.2021;20:45:00;0;1;2;1
01.01.2021;21:00:00;0;0;2;28
01.01.2021;21:15:00;0;0;5;0
01.01.2021;21:30:00;0;1;4;0
01.01.2021;21:45:00;0;0;1;11
01.01.2021;22:00:00;0;1;2;23
01.01.2021;22:15:00;0;0;1;0
01.01.2021;22:30:00;0;0;0;20
01.01.2021;22:45:00;0;0;1;0
01.01.2021;23:00:00;0;0;0;0
01.01.2021;23:15:00;0;0;0;0
01.01.2021;23:30:00;0;0;0;0
01.01.2021;23:45:00;1;0;0;0
02.01.2021;00:00:00;0;0;0;17
02.01.2021;00:15:00;0;0;4;28
02.01.2021;00:30:00;0;0;1;14
02.01.2021;00:45:00;0;0;0;6
02.01.2021;01:00:00;0;0;0;0
02.01.2021;01:15:00;0;0;0;0
02.01.2021;01:30:00;0;0;0;0
02.01.2021;01:45:00;0;0;0;0
02.01.2021;02:00:00;0;0;0;1
02.01.2021;02:15:00;0;0;0;0
02.01.2021;02:30:00;0;0;0;0
02.01.2021;02:45:00;0;0;0;0
02.01.2021;03:00:00;0;0;0;0
02.01.2021;03:15:00;0;0;0;1
02.01.2021;03:30:00;0;0;0;0
02.01.2021;03:45:00;0;0;0;0
02.01.2021;04:00:00;0;0;0;0
02.01.2021;04:15:00;0;0;0;1
02.01.2021;04:30:00;0;1;0;19
02.01.2021;04:45:00;0;1;1;29
02.01.2021;05:00:00;0;0;3;0
02.01.2021;05:15:00;0;0;0;36
02.01.2021;05:30:00;2;0;2;4
02.01.2021;05:45:00;0;0;0;1
02.01.2021;06:00:00;0;0;1;27
02.01.2021;06:15:00;0;0;1;0
02.01.2021;06:30:00;0;0;2;0
02.01.2021;06:45:00;1;0;0;1
02.01.2021;07:00:00;1;0;0;1
02.01.2021;07:15:00;0;0;4;1
02.01.2021;07:30:00;1;2;1;1
02.01.2021;07:45:00;1;0;4;0
02.01.2021;08:00:00;1;0;2;1
02.01.2021;08:15:00;2;1;3;3
02.01.2021;08:30:00;0;8;3;0
02.01.2021;08:45:00;2;0;5;2
02.01.2021;09:00:00;0;1;5;1
02.01.2021;09:15:00;0;5;2;1
02.01.2021;09:30:00;1;5;2;1
02.01.2021;09:45:00;1;3;4;7
02.01.2021;10:00:00;1;3;7;2
02.01.2021;10:15:00;3;2;9;4
02.01.2021;10:30:00;4;7;5;8
02.01.2021;10:45:00;9;8;13;5
02.01.2021;11:00:00;6;8;12;3
02.01.2021;11:15:00;9;21;13;4
02.01.2021;11:30:00;11;11;16;6
02.01.2021;11:45:00;11;10;13;7
02.01.2021;12:00:00;5;11;10;10
02.01.2021;12:15:00;15;13;16;13
02.01.2021;12:30:00;8;14;14;10
02.01.2021;12:45:00;13;15;22;9
02.01.2021;13:00:00;9;15;24;32
